date,exalus,exjpus,exukus
1-Jan-85,,,
2-Jan-85,1.2249,251.8,0.8711
3-Jan-85,1.2271,252.45,0.8692
4-Jan-85,1.2311,253.2,0.8669
7-Jan-85,1.2435,255.95,0.876
8-Jan-85,1.2318,253.75,0.8715
9-Jan-85,1.2277,255.1,0.8764
10-Jan-85,1.2217,253.7,0.8818
11-Jan-85,1.2165,253.83,0.8893
14-Jan-85,1.2238,255.4,0.9001
15-Jan-85,1.2268,254.7,0.8933
16-Jan-85,1.2219,254.95,0.8953
17-Jan-85,1.2222,254.55,0.8939
18-Jan-85,1.2273,254.58,0.8933
21-Jan-85,,,
22-Jan-85,1.2296,254,0.8901
23-Jan-85,1.2326,254.4,0.9009
24-Jan-85,1.2258,253.7,0.8945
25-Jan-85,1.2262,253.95,0.9009
28-Jan-85,1.2252,254.18,0.9001
29-Jan-85,1.2255,254.35,0.8978
30-Jan-85,1.2252,254.5,0.8881
31-Jan-85,1.2288,254.8,0.8846
1-Feb-85,1.2373,256.75,0.8897
4-Feb-85,1.2606,259.42,0.8977
5-Feb-85,1.2845,259.7,0.8999
6-Feb-85,1.2811,259.53,0.8981
7-Feb-85,1.3193,260.65,0.8961
8-Feb-85,1.2987,260.7,0.9017
11-Feb-85,1.318,261.65,0.9116
12-Feb-85,,,
13-Feb-85,1.3569,262.8,0.9195
14-Feb-85,1.3407,260.5,0.9158
15-Feb-85,1.355,257.85,0.9074
18-Feb-85,,,
19-Feb-85,1.4771,260.7,0.915
20-Feb-85,1.4663,261.3,0.9204
21-Feb-85,1.3937,261.8,0.9246
22-Feb-85,1.4205,262.8,0.9289
25-Feb-85,1.4409,262.65,0.9483
26-Feb-85,1.4225,261.05,0.9506
27-Feb-85,1.3947,259.3,0.9195
28-Feb-85,1.4085,259.45,0.9268
1-Mar-85,1.4114,260.35,0.9328
4-Mar-85,1.4215,260.1,0.9366
5-Mar-85,1.4461,261,0.9483
6-Mar-85,1.468,261.2,0.9328
7-Mar-85,1.4478,261,0.9369
8-Mar-85,1.4493,261.63,0.9398
11-Mar-85,1.4225,259.25,0.9187
12-Mar-85,1.4368,260.1,0.9187
13-Mar-85,1.4399,260.25,0.9208
14-Mar-85,1.4489,260.55,0.9255
15-Mar-85,1.4518,260.55,0.9225
18-Mar-85,1.4451,259.9,0.9042
19-Mar-85,1.4337,256.3,0.8807
20-Mar-85,1.4388,256.4,0.8688
21-Mar-85,1.4164,254.1,0.8425
22-Mar-85,1.4286,255.65,0.8529
25-Mar-85,1.4358,256.65,0.854
26-Mar-85,1.4306,255.4,0.846
27-Mar-85,1.4094,251.95,0.8081
28-Mar-85,1.4225,253,0.815
29-Mar-85,1.4286,251,0.8091
1-Apr-85,1.4771,252.45,0.8187
2-Apr-85,1.4826,254.3,0.8299
3-Apr-85,1.5152,253.15,0.822
4-Apr-85,1.5385,254.5,0.8379
5-Apr-85,1.5337,254.85,0.8344
8-Apr-85,1.5326,255.5,0.8326
9-Apr-85,1.4981,254.9,0.8264
10-Apr-85,1.4914,254.25,0.823
11-Apr-85,1.487,251.7,0.7994
12-Apr-85,1.4937,251.35,0.7971
15-Apr-85,1.4925,249.95,0.784
16-Apr-85,1.5015,249.55,0.7828
17-Apr-85,1.5588,249.55,0.7851
18-Apr-85,1.5456,247.6,0.7731
19-Apr-85,1.5528,247.4,0.7734
22-Apr-85,1.5785,248.8,0.7825
23-Apr-85,1.5576,250,0.7987
24-Apr-85,1.5198,251.3,0.813
25-Apr-85,1.4859,252.35,0.8309
26-Apr-85,1.5038,252.95,0.8224
29-Apr-85,1.5279,252.7,0.813
30-Apr-85,1.5516,251.5,0.8058
1-May-85,1.548,252.75,0.8173
2-May-85,1.5314,252.95,0.8193
3-May-85,1.5152,253.85,0.8285
6-May-85,1.506,254.55,0.8418
7-May-85,1.4914,252.9,0.821
8-May-85,1.4648,253.75,0.8282
9-May-85,1.4461,251.55,0.8079
10-May-85,1.444,252.4,0.8107
13-May-85,1.4327,251.35,0.7978
14-May-85,1.4451,249.6,0.7852
15-May-85,1.4571,251,0.7921
16-May-85,1.4728,251.5,0.7943
17-May-85,1.4624,250.7,0.7905
20-May-85,1.4388,249.65,0.7797
21-May-85,1.4482,250.25,0.7865
22-May-85,1.4451,250.75,0.7915
23-May-85,1.4749,251.3,0.7943
24-May-85,1.4674,251.1,0.7946
27-May-85,,,
28-May-85,1.5072,251.6,0.799
29-May-85,1.506,251.75,0.7896
30-May-85,1.5076,251.6,0.7852
31-May-85,1.5078,251.2,0.7776
3-Jun-85,1.5072,248.6,0.7725
4-Jun-85,1.5106,249.1,0.7837
5-Jun-85,1.5186,249.45,0.7959
6-Jun-85,1.5106,247.7,0.7868
7-Jun-85,1.5053,249.55,0.7886
10-Jun-85,1.511,250,0.7955
11-Jun-85,1.5053,249.9,0.7922
12-Jun-85,1.4914,249.85,0.7896
13-Jun-85,1.5038,249.8,0.7905
14-Jun-85,1.5015,248.75,0.7813
17-Jun-85,1.5056,248.7,0.7819
18-Jun-85,1.5015,247.55,0.7698
19-Jun-85,1.4986,247.7,0.7654
20-Jun-85,1.5042,248.35,0.7831
21-Jun-85,1.5026,248.15,0.777
24-Jun-85,1.5049,248.8,0.777
25-Jun-85,1.5004,249,0.7782
26-Jun-85,1.4919,248.45,0.7704
27-Jun-85,1.5004,249,0.774
28-Jun-85,1.4959,248.4,0.7637
1-Jul-85,1.4975,247.95,0.7663
2-Jul-85,1.5011,248.35,0.7669
3-Jul-85,1.4952,248.05,0.7618
4-Jul-85,,,
5-Jul-85,1.4815,247,0.7536
8-Jul-85,1.4732,246.05,0.7443
9-Jul-85,1.4663,244.25,0.7326
10-Jul-85,1.4455,243.45,0.7215
11-Jul-85,1.4265,243,0.7241
12-Jul-85,1.4278,240.95,0.722
15-Jul-85,1.4188,237.65,0.7199
16-Jul-85,1.4088,237.9,0.721
17-Jul-85,1.401,236.5,0.7086
18-Jul-85,1.4031,238.2,0.712
19-Jul-85,1.3957,238.75,0.7148
22-Jul-85,1.4045,240.05,0.7202
23-Jul-85,1.399,238,0.7092
24-Jul-85,1.4154,239.75,0.7154
25-Jul-85,1.4134,238.9,0.709
26-Jul-85,1.4144,239.25,0.7097
29-Jul-85,1.3914,237.15,0.7004
30-Jul-85,1.4065,237.4,0.7035
31-Jul-85,1.3839,236.45,0.7087
1-Aug-85,1.3966,237.65,0.7241
2-Aug-85,1.3937,237.45,0.7294
5-Aug-85,1.3918,237.5,0.7313
6-Aug-85,1.4055,238.45,0.7429
7-Aug-85,1.4174,238.4,0.7474
8-Aug-85,1.4194,238.5,0.7377
9-Aug-85,1.4124,238.55,0.7366
12-Aug-85,1.398,237.3,0.7228
13-Aug-85,1.4035,237.35,0.7205
14-Aug-85,1.418,238,0.7225
15-Aug-85,1.4358,237.15,0.7161
16-Aug-85,1.4229,236.85,0.7145
19-Aug-85,1.4164,236.85,0.7148
20-Aug-85,1.4104,237.4,0.7199
21-Aug-85,1.4154,237,0.7182
22-Aug-85,1.4164,235.85,0.7105
23-Aug-85,1.4205,236.5,0.7138
26-Aug-85,1.4235,236.89,0.7106
27-Aug-85,1.4306,237.38,0.7179
28-Aug-85,1.4225,237,0.7135
29-Aug-85,1.4225,237.12,0.7145
30-Aug-85,1.4255,239,0.7189
2-Sep-85,,,
3-Sep-85,1.4556,239.5,0.7305
4-Sep-85,1.4609,239.6,0.7284
5-Sep-85,1.4497,239.95,0.7326
6-Sep-85,1.4613,243.6,0.7547
9-Sep-85,1.4981,243.45,0.7666
10-Sep-85,1.4821,242.75,0.7616
11-Sep-85,1.4881,243.55,0.7642
12-Sep-85,1.4861,243.2,0.7584
13-Sep-85,1.4749,242,0.7463
16-Sep-85,1.4695,241.35,0.7452
17-Sep-85,1.4648,241.7,0.7465
18-Sep-85,1.4663,242.25,0.7491
19-Sep-85,1.4674,242.05,0.7463
20-Sep-85,1.4316,240.1,0.7315
23-Sep-85,1.4215,231.9,0.7008
24-Sep-85,1.4144,229.8,0.6986
25-Sep-85,1.4025,226.9,0.6957
26-Sep-85,1.3899,220.3,0.6959
27-Sep-85,1.4065,220.1,0.713
30-Sep-85,1.4245,216.5,0.71
1-Oct-85,1.4065,215,0.709
2-Oct-85,1.41,214.1,0.7075
3-Oct-85,1.4045,212.79,0.7018
4-Oct-85,1.413,213.45,0.7065
7-Oct-85,1.4209,215.45,0.708
8-Oct-85,1.4215,216,0.7077
9-Oct-85,1.4364,214.8,0.7072
10-Oct-85,1.4241,215.4,0.7087
11-Oct-85,1.4219,214.65,0.7085
14-Oct-85,,,
15-Oct-85,1.4286,215.45,0.7078
16-Oct-85,1.4306,217.3,0.7105
17-Oct-85,1.4223,215.15,0.7072
18-Oct-85,1.419,215.15,0.7003
21-Oct-85,1.4225,215.7,0.6976
22-Oct-85,1.4259,216.1,0.6991
23-Oct-85,1.4358,215.9,0.6976
24-Oct-85,1.4312,216.7,0.7037
25-Oct-85,1.4302,214.9,0.7032
28-Oct-85,1.4286,213.5,0.7005
29-Oct-85,1.4292,212.43,0.6968
30-Oct-85,1.4265,211.5,0.694
31-Oct-85,1.4306,211.55,0.6942
1-Nov-85,1.4337,209,0.694
4-Nov-85,1.4641,207.9,0.6942
5-Nov-85,1.4963,208,0.6981
6-Nov-85,1.5117,205.25,0.6967
7-Nov-85,1.5049,205.6,0.706
8-Nov-85,1.4859,205.85,0.7059
11-Nov-85,,,
12-Nov-85,1.5129,205.85,0.7087
13-Nov-85,1.5078,204,0.7025
14-Nov-85,1.493,203.35,0.7006
15-Nov-85,1.4859,204.3,0.7034
18-Nov-85,1.4848,203.45,0.7015
19-Nov-85,1.4771,203,0.6971
20-Nov-85,1.4734,203.45,0.6974
21-Nov-85,1.4658,202.1,0.6937
22-Nov-85,1.4529,201.35,0.6873
25-Nov-85,1.4459,200.8,0.6836
26-Nov-85,1.4465,201,0.68
27-Nov-85,1.4543,201.05,0.6785
28-Nov-85,,,
29-Nov-85,1.4579,202.1,0.6716
2-Dec-85,1.4793,204.03,0.6723
3-Dec-85,1.4771,204.75,0.6761
4-Dec-85,1.4689,202.65,0.6729
5-Dec-85,1.4674,203,0.6759
6-Dec-85,1.4684,203.4,0.6764
9-Dec-85,1.4736,203.5,0.6861
10-Dec-85,1.4738,203.6,0.6969
11-Dec-85,1.462,203.9,0.7067
12-Dec-85,1.4605,202.05,0.6947
13-Dec-85,1.4592,202.8,0.6961
16-Dec-85,1.465,202.6,0.6957
17-Dec-85,1.471,201.95,0.6959
18-Dec-85,1.4715,203.15,0.7045
19-Dec-85,1.4646,202.97,0.7037
20-Dec-85,1.4648,202.7,0.7018
23-Dec-85,1.4706,202.45,0.6998
24-Dec-85,1.4663,202.75,0.7008
25-Dec-85,,,
26-Dec-85,1.4663,202.8,0.6998
27-Dec-85,1.4658,202.2,0.6964
30-Dec-85,1.4684,201.05,0.6949
31-Dec-85,1.4667,200.25,0.692
1-Jan-86,,,
2-Jan-86,1.4663,199.15,0.6894
3-Jan-86,1.4684,202.53,0.6954
6-Jan-86,1.4691,201.9,0.6966
7-Jan-86,1.4524,201.7,0.6947
8-Jan-86,1.4522,202.1,0.6929
9-Jan-86,1.4358,202.1,0.6897
10-Jan-86,1.4376,202.35,0.6875
13-Jan-86,1.4413,202.7,0.6935
14-Jan-86,1.447,202.6,0.6945
15-Jan-86,1.442,202.5,0.6935
16-Jan-86,1.4255,202.55,0.6954
17-Jan-86,1.431,202.52,0.696
20-Jan-86,,,
21-Jan-86,1.428,202.35,0.7105
22-Jan-86,1.4043,201.7,0.7172
23-Jan-86,1.4013,202.05,0.7228
24-Jan-86,1.4055,196.05,0.7174
27-Jan-86,1.4029,195.75,0.7186
28-Jan-86,1.4,195.65,0.7102
29-Jan-86,1.3984,194.1,0.713
30-Jan-86,1.3986,193.05,0.7097
31-Jan-86,1.401,192.3,0.7082
3-Feb-86,1.4188,191.55,0.7215
4-Feb-86,1.4436,192.05,0.7262
5-Feb-86,1.4403,190.65,0.7192
6-Feb-86,1.4271,190.48,0.7156
7-Feb-86,1.4403,191.35,0.7148
10-Feb-86,1.4409,188.15,0.71
11-Feb-86,1.4507,187.45,0.7082
12-Feb-86,1.4601,186.72,0.7095
13-Feb-86,1.4468,182.3,0.7055
14-Feb-86,1.4249,182,0.7051
17-Feb-86,,,
18-Feb-86,1.4188,181.05,0.7001
19-Feb-86,1.4104,179.4,0.6897
20-Feb-86,1.4184,181.1,0.6889
21-Feb-86,1.4235,182.98,0.6913
24-Feb-86,1.4207,182.15,0.6835
25-Feb-86,1.4118,180.95,0.6702
26-Feb-86,1.4112,181.15,0.6716
27-Feb-86,1.4347,180.15,0.675
28-Feb-86,1.43,180.55,0.6916
3-Mar-86,1.4362,179.65,0.6937
4-Mar-86,1.4265,179,0.6835
5-Mar-86,1.4229,181.45,0.6892
6-Mar-86,1.4273,179.3,0.6861
7-Mar-86,1.4243,179.45,0.6885
10-Mar-86,1.4253,180.7,0.693
11-Mar-86,1.4184,179.9,0.687
12-Mar-86,1.4205,180.2,0.6817
13-Mar-86,1.4194,179.9,0.6853
14-Mar-86,1.4221,177.15,0.6845
17-Mar-86,1.4118,175.73,0.6831
18-Mar-86,1.4029,175,0.6772
19-Mar-86,1.4085,177.1,0.6761
20-Mar-86,1.4023,176.37,0.6723
21-Mar-86,1.4011,175.8,0.666
24-Mar-86,1.3926,178.9,0.6723
25-Mar-86,1.387,180.2,0.6841
26-Mar-86,1.4037,179.8,0.678
27-Mar-86,1.4043,179.52,0.674
28-Mar-86,1.4035,179.85,0.6784
31-Mar-86,1.4053,177.6,0.6787
1-Apr-86,1.385,178.15,0.6798
2-Apr-86,1.3891,179.5,0.6828
3-Apr-86,1.398,179.9,0.6852
4-Apr-86,1.3947,180.35,0.6892
7-Apr-86,1.3935,182.85,0.687
8-Apr-86,1.3889,180.05,0.6847
9-Apr-86,1.3926,180.05,0.6845
10-Apr-86,1.4002,178.8,0.6842
11-Apr-86,1.3966,178.35,0.6775
14-Apr-86,1.3951,179.12,0.6747
15-Apr-86,1.4004,178.25,0.6757
16-Apr-86,1.3935,176.5,0.6638
17-Apr-86,1.3965,175.15,0.6542
18-Apr-86,1.3937,173.8,0.6588
21-Apr-86,1.3879,172,0.6617
22-Apr-86,1.3704,170.15,0.6572
23-Apr-86,1.3699,169.35,0.6564
24-Apr-86,1.3687,169,0.652
25-Apr-86,1.3686,168.1,0.6477
28-Apr-86,1.355,167.15,0.6431
29-Apr-86,1.3512,167.85,0.6443
30-Apr-86,1.3501,167.6,0.6447
1-May-86,1.36,169.65,0.6539
2-May-86,1.3611,169.9,0.657
5-May-86,1.3535,165.62,0.6489
6-May-86,1.3596,166.25,0.6519
7-May-86,1.3559,165.1,0.6487
8-May-86,1.345,163.62,0.6481
9-May-86,1.3426,162.35,0.6483
12-May-86,1.3396,161.15,0.6468
13-May-86,1.3686,163,0.6516
14-May-86,1.4065,163.3,0.6496
15-May-86,1.399,163.6,0.6515
16-May-86,1.3873,165.4,0.6555
19-May-86,1.377,168.15,0.6589
20-May-86,1.3827,168.6,0.6587
21-May-86,1.3883,168.77,0.6594
22-May-86,1.401,169.3,0.6699
23-May-86,1.3941,169.6,0.6693
26-May-86,,,
27-May-86,1.3881,169.2,0.6642
28-May-86,1.3866,169,0.6658
29-May-86,1.3889,171.6,0.6707
30-May-86,1.399,174.5,0.6792
2-Jun-86,1.4144,174.9,0.6784
3-Jun-86,1.4273,171.6,0.6698
4-Jun-86,1.428,171.53,0.6741
5-Jun-86,1.4447,168.9,0.6687
6-Jun-86,1.4306,167.7,0.6647
9-Jun-86,1.4353,167.87,0.6676
10-Jun-86,1.4388,166.9,0.6594
