Name,AUSTRALIAN $ TO US $ (BBI) - EXCHANGE RATE,AUSTRALIAN $ TO US $ 1M FWD (BBI) - EXCHANGE RATE,JAPANESE YEN TO US $ (BBI) - EXCHANGE RATE,JAPANESE YEN TO US $ 1M FWD (BBI) - EXCHANGE RATE,US $ TO UK ? (BBI) - EXCHANGE RATE,US $ TO UK ? 1M FWD (BBI) - EXCHANGE RATE
1/1/1985,1.2114,1.214,251.55,250.625,1.1587,1.1563
2/1/1985,1.2369,1.2353,256.625,256.1,1.1248,1.121
3/1/1985,1.409,1.412,260.55,259.955,1.0745,1.0653
4/1/1985,1.4749,1.4829,252.4,251.805,1.2222,1.2173
5/1/1985,1.5456,1.5573,252.775,252.27,1.223,1.2111
6/1/1985,1.5049,1.514,248.625,248.38,1.2945,1.2892
7/1/1985,1.497,1.507,247.85,247.465,1.3062,1.3003
8/1/1985,1.3947,1.4043,237.3,236.955,1.3812,1.3768
9/1/1985,1.4426,1.4536,238.525,238.22,1.3792,1.3749
10/1/1985,1.4035,1.4132,214.15,213.805,1.413,1.4084
11/1/1985,1.4347,1.4443,208.9,208.825,1.4415,1.4372
12/1/1985,1.4782,1.4925,203.775,203.075,1.488,1.4854
1/1/1986,1.4663,1.4793,200.1,199.935,1.446,1.4416
2/1/1986,1.4194,1.4276,191.5,190.575,1.3865,1.3842
3/1/1986,1.4368,1.4487,179.4,179.855,1.4415,1.4318
4/1/1986,1.3841,1.394,178.03,177.655,1.4685,1.4628
5/1/1986,1.3603,1.3712,169.45,169.135,1.5295,1.5242
6/1/1986,1.4131,1.4196,175.1,175.755,1.4735,1.4696
7/1/1986,1.5245,1.5356,162.55,162.225,1.55,1.5457
8/1/1986,1.6519,1.6658,153.95,153.725,1.4852,1.4808
9/1/1986,1.6408,1.6578,153.825,153.74,1.49,1.4847
10/1/1986,1.5839,1.5988,154.15,153.985,1.446,1.4417
11/1/1986,1.5611,1.5747,163.95,163.715,1.411,1.4053
12/1/1986,1.5383,1.5515,162.25,161.985,1.4378,1.4317
1/1/1987,1.5032,1.5122,158.1,157.775,1.4825,1.4771
2/1/1987,1.5116,1.5244,152.55,152.32,1.5245,1.5189
3/1/1987,1.4668,1.4794,153.5,153.24,1.5638,1.5573
4/1/1987,1.4165,1.4278,146.75,146.4,1.604,1.5992
5/1/1987,1.424,1.4334,140.25,139.845,1.669,1.6656
6/1/1987,1.3981,1.4062,145.45,145.015,1.624,1.6215
7/1/1987,1.3865,1.3931,146.8,146.395,1.615,1.6121
8/1/1987,1.4272,1.4344,150.5,150.045,1.583,1.5798
9/1/1987,1.3919,1.3977,141.9,141.495,1.64,1.6361
10/1/1987,1.4083,1.4125,146.8,146.365,1.6175,1.6143
11/1/1987,1.4738,1.4807,137,136.63,1.7365,1.7333
12/1/1987,1.4173,1.4217,132.9,132.48,1.818,1.8167
1/1/1988,1.3841,1.389,121.05,120.735,1.887,1.8848
2/1/1988,1.4093,1.4137,129.3,129.035,1.758,1.7551
3/1/1988,1.3855,1.3906,128.35,128.075,1.7778,1.7741
4/1/1988,1.3491,1.3545,124.23,123.915,1.8867,1.8843
5/1/1988,1.3197,1.3242,124.95,124.595,1.8795,1.8779
6/1/1988,1.2338,1.2391,125.25,124.855,1.824,1.8241
7/1/1988,1.2656,1.2709,134.15,133.735,1.7005,1.6979
8/1/1988,1.2445,1.2498,132.72,132.255,1.713,1.7092
9/1/1988,1.2579,1.2629,136.52,136.18,1.6697,1.6646
10/1/1988,1.2747,1.2802,133.65,133.195,1.6985,1.6932
11/1/1988,1.2188,1.224,125.35,124.915,1.7645,1.7591
12/1/1988,1.1474,1.1523,121.55,121.04,1.8535,1.8479
1/1/1989,1.1699,1.1756,125.05,124.585,1.807,1.8012
2/1/1989,1.1248,1.1262,129.7,129.5,1.754,1.7415
3/1/1989,1.2438,1.2504,128.25,127.67,1.7242,1.7197
4/1/1989,1.2106,1.2221,132.02,131.77,1.6865,1.6736
5/1/1989,1.2586,1.266,132.85,132.24,1.689,1.6847
6/1/1989,1.328,1.3369,142.7,142.14,1.575,1.57
7/1/1989,1.3055,1.3154,141.55,141.02,1.5765,1.5703
8/1/1989,1.3149,1.3261,137.03,136.6,1.656,1.6483
9/1/1989,1.3154,1.3247,145.95,145.54,1.556,1.5496
10/1/1989,1.2862,1.2965,139.5,139.05,1.618,1.6106
11/1/1989,1.2804,1.2905,143.15,142.85,1.5815,1.5729
12/1/1989,1.282,1.292,143.25,142.99,1.5635,1.5552
1/1/1990,1.266,1.276,143.65,143.42,1.613,1.6036
2/1/1990,1.2987,1.3071,144.9,144.72,1.685,1.6765
3/1/1990,1.3097,1.318,149.45,149.31,1.6647,1.6554
4/1/1990,1.3227,1.33,159,158.82,1.63,1.6214
5/1/1990,1.34,1.3478,158.75,158.58,1.64,1.6306
6/1/1990,1.2995,1.306,151.3,151.17,1.6842,1.6749
7/1/1990,1.2571,1.2641,151.2,151.14,1.761,1.7487
8/1/1990,1.2594,1.2671,147.35,147.29,1.854,1.8426
9/1/1990,1.2255,1.2382,143.55,143.37,1.8715,1.861
10/1/1990,1.1976,1.205,137,136.99,1.8895,1.8782
11/1/1990,1.2763,1.2812,130.5,130.5,1.949,1.9396
12/1/1990,1.2865,1.2906,133.85,133.845,1.9215,1.9123
1/1/1991,1.297,1.3017,135.7,135.745,1.929,1.9181
2/1/1991,1.2788,1.2835,131.58,131.71,1.9765,1.9658
3/1/1991,1.2753,1.2798,134.335,134.505,1.9015,1.8916
4/1/1991,1.2902,1.2962,141.35,141.55,1.7355,1.7265
5/1/1991,1.2839,1.2897,137.05,137.29,1.7255,1.717
6/1/1991,1.3192,1.3239,139.05,139.26,1.6985,1.6909
7/1/1991,1.3059,1.3109,138.35,138.54,1.616,1.6082
8/1/1991,1.286,1.29,137.55,137.73,1.673,1.6658
9/1/1991,1.2748,1.2806,136.8,137,1.6855,1.6784
10/1/1991,1.254,1.2582,133.2,133.355,1.7485,1.7408
11/1/1991,1.28,1.2834,130.25,130.375,1.7495,1.7417
12/1/1991,1.2757,1.2792,130,130.115,1.7785,1.7698
1/1/1992,1.316,1.3197,124.93,125.065,1.867,1.8565
2/1/1992,1.3279,1.3315,125.85,125.975,1.798,1.7888
3/1/1992,1.3258,1.3295,129.7,129.855,1.754,1.744
4/1/1992,1.3035,1.3069,134.38,134.465,1.725,1.7152
5/1/1992,1.3228,1.3256,133.15,133.235,1.7855,1.7753
6/1/1992,1.3197,1.3223,127.55,127.63,1.823,1.814
7/1/1992,1.3391,1.3441,124.855,125.1,1.9112,1.8999
8/1/1992,1.3436,1.3463,127.295,127.37,1.924,1.912
9/1/1992,1.3921,1.395,122.845,122.925,1.997,1.9853
10/1/1992,1.4006,1.4038,119.875,119.97,1.743,1.734
11/1/1992,1.4464,1.4495,124,124.055,1.5335,1.5251
12/1/1992,1.461,1.463,124.415,124.37,1.539,1.5348
1/1/1993,1.454,1.4582,124.8,124.845,1.5125,1.5078
2/1/1993,1.48,1.4828,124.85,124.885,1.4535,1.4495
3/1/1993,1.4175,1.4202,118.42,118.44,1.4405,1.4366
4/1/1993,1.4363,1.4386,114.075,114.09,1.525,1.5209
5/1/1993,1.4153,1.4176,111.325,111.335,1.569,1.5649
6/1/1993,1.472,1.475,106.97,106.97,1.5515,1.5478
7/1/1993,1.5025,1.5052,107.35,108,1.5085,1.505
8/1/1993,1.45,1.4519,104.35,104.355,1.4845,1.4808
9/1/1993,1.4964,1.498,105.31,105.295,1.5035,1.4999
10/1/1993,1.5426,1.545,106.05,105.995,1.506,1.5023
11/1/1993,1.4838,1.4857,108.48,108.425,1.48,1.4766
12/1/1993,1.5184,1.5199,108.67,108.58,1.4805,1.4782
1/1/1994,1.4717,1.474,111.77,111.51,1.4775,1.4745
2/1/1994,1.3957,1.3973,108.05,107.98,1.5025,1.4999
3/1/1994,1.399,1.4004,104.78,104.675,1.4855,1.4834
4/1/1994,1.4265,1.4279,102.63,102.53,1.4889,1.487
5/1/1994,1.3996,1.4005,102.05,101.905,1.5143,1.5128
6/1/1994,1.3513,1.352,104.67,104.465,1.5175,1.5166
7/1/1994,1.3727,1.3672,98.53,99.515,1.5395,1.5339
8/1/1994,1.3545,1.355,99.15,98.93,1.5367,1.5354
9/1/1994,1.3453,1.347,99.58,99.89,1.5439,1.5363
